 ZONE , ZONAL HQ , STATE COMMANDS ,ZHNO,STCNO, AREA COMMANDS , DIVISIONAL HQ , POLICE STATIONS , POLICE POSTS , VILLAGE POSTS ,TOLAV-V,TOTAL,STATE POPULATION,STATEAREAKM2,PEOPLEPERKM2,PXA
1, KANO , KANO ,1,1,7,79,0,158,0,246,246,9401288,20131,467.01,189257328728.00
1, KANO , KATSINA ,1,1,5,54,38,92,34,191,225,5801584,24192,239.81,140351920128.00
1, KANO , JIGAWA ,1,1,6,48,34,98,27,188,215,4361002,23154,188.35,100974640308.00
2, LAGOS , LAGOS ,1,1,14,112,22,0,0,150,150,9113605,3345,2724.55,30485008725.00
2, LAGOS , OGUN ,1,1,8,64,32,62,12,168,180,3751140,16762,223.79,62876608680.00
3, YOLA , ADAMAWA ,1,1,5,32,32,45,0,116,116,3178950,36917,86.11,117357297150.00
3, YOLA , TARABA ,1,1,6,19,79,81,20,187,207,2294800,54473,42.13,125004640400.00
3, YOLA , GOMBE ,1,1,4,26,30,38,0,100,100,2365040,18768,126.01,44387070720.00
4, MAKURDI , BENUE ,1,1,6,41,97,61,50,207,257,4253641,34059,124.89,144874758819.00
4, MAKURDI , NASSARAWA ,1,1,5,39,53,155,0,254,254,1869377,27117,68.94,50691896109.00
4, MAKURDI , PLATEAU ,1,1,6,38,104,163,0,313,313,3206531,30913,103.73,99123492803.00
5, BENIN , BAYELSA ,1,1,6,25,22,17,12,72,84,1704515,10773,158.22,18362740095.00
5, BENIN , EDO ,1,1,7,66,43,45,12,163,175,3233366,17802,181.63,57560381532.00
5, BENIN , DELTA ,1,1,6,51,41,46,0,146,146,4112445,17698,232.37,72782051610.00
6, CALABAR , AKWA IBOM ,1,1,6,58,19,0,0,85,85,3178950,7081,448.94,22510144950.00
6, CALABAR , C/RIVER ,1,1,8,26,54,27,0,117,117,2892988,20156,143.53,58311066128.00
6, CALABAR , EBONYI ,1,1,5,        ,30,11,0,48,48,2176947,5670,383.94,12343289490.00
6, CALABAR , RIVERS ,1,1,9,88,25,40,0,164,164,5198605,11077,469.32,57584947585.00
7, ABUJA , FCT ,1,1,5,40,27,28,1,102,103,1405201,7315,192.1,10279045315.00
7, ABUJA , NIGER ,1,1,7,56,61,93,24,219,243,3954772,76363,51.79,301998254236.00
7, ABUJA , KADUNA ,1,1,4,51,59,105,95,221,316,6113503,46053,132.75,281545153659.00
8,LOKOJA, KOGI ,1,1,5,54,16,113,0,190,190,3314043,29833,111.09,98867844819.00
8,LOKOJA, KWARA ,1,1,5,62,11,105,0,185,185,2365353,36825,64.23,87104124225.00
8,LOKOJA, EKITI ,1,1,4,30,10,33,0,79,79,2398957,6353,377.61,15240573821.00
9,UMUAHIA , ENUGU ,1,1,5,51,0,50,0,108,108,3267837,7161,456.34,23400980757.00
9,UMUAHIA , ANAMBRA ,1,1,8,42,0,9,0,61,61,4177828,4844,862.47,20237398832.00
9,UMUAHIA , IMO ,1,1,4,44,63,38,0,151,151,3927563,5530,710.23,21719423390.00
9,UMUAHIA , ABIA ,1,1,4,44,26,24,0,100,100,2845380,6320,450.22,17982801600.00
10,SOKOTO, SOKOTO ,1,1,3,34,10,59,0,108,108,3702676,25973,142.56,96169603748.00
10,SOKOTO, ZAMFARA ,1,1,5,26,22,38,0,93,93,3278873,39762,82.46,130374548226.00
10,SOKOTO, KEBBI ,1,1,4,30,9,0,0,45,45,3256541,36800,88.49,119840708800.00
11,OSHOGBO, ONDO ,1,1,6,69,36,37,0,150,150,3460877,15500,223.28,53643593500.00
11,OSHOGBO, OSUN ,1,1,5,50,37,24,0,118,118,3416959,9251,369.36,31610287709.00
11,OSHOGBO, OYO ,1,1,7,70,19,32,0,130,130,5580894,28454,196.14,158798757876.00
12,BAUCHI, BAUCHI ,1,1,5,38,22,17,12,84,96,4653066,45837,101.51,213282586242.00
12,BAUCHI, BORNO ,1,1,7,18,0,0,0,27,27,4171104,70898,58.83,295722931392.00
12,BAUCHI, YOBE ,1,1,5,26,29,76,29,138,167,2321339,45502,51.02,105625567178.00
,,,,,,,,,,,,,,,
