ItemLabels,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020
AGRIC EGGS DOZEN BENUE,348.33,342.5,371.25,381.25,375.88,370.75,384,416.67,427.58,440.78,448,487.5,516.28,515,532.5,520,543,521.67,530.33,508.57,510,503.57,500.64,512.55,432.5,572,550.47,570,595,587.86,488.89,489.23,498,508.89,500,498.89,500.56,518.57,515.77,519.17,519.48,502.22,460,485.45,473.08,470.44,488,475.38,475.4,471.03,444.62,433.75
Agric eggs(medium size price of one)  BENUE,29.79,29.79,31.88,32.25,33.3,32.68,35.19,36.92,37.56,45.34,38.66,45.6,47.78,43.54,45,44.29,46.36,45,48.57,44.71,45,44.12,42.21,46.74,40,45.33,44.21,44.29,45,44.9,45.45,46.25,44.41,46.36,46.14,45.45,45,45.71,45.33,45.42,45.44,40,40,42.85,46.15,45.14,42,40,40.1,40,40,41.92
"Beans brown,sold loose   BENUE",260.11,267.02,263.35,264.74,329.68,325.54,306.3,284.85,298.73,376.63,369.42,338.27,347.44,340.68,344.6,351.37,350,350,366.39,417.22,426.65,398.78,396.04,387.31,427.44,413.5,383.89,351.37,396.65,411.81,412.18,417.73,436.5,395.27,369.37,376.18,354.74,380.22,380.42,350.19,344.8,353.78,345.89,305.48,329.78,333.77,337.92,330.43,314.19,301.43,285.79,291.49
Beans:white black eye. sold loose   BENUE,253.14,258.53,267.5,262.84,243.74,267.92,262.94,255.41,285.43,323.83,290.9,284.31,306.08,287.04,288.79,307.43,314.29,320.61,321.79,356.18,365.61,353.59,353.59,349.69,358.83,327.78,352.14,302.57,365.61,354.05,358.06,355.59,367.47,346.31,328.31,308.06,300.84,326.85,320.1,315.17,326.77,305.28,305.48,297.09,309.64,310.34,282.08,283.19,241.35,224.64,232.31,241.26
Beef Bone in   BENUE,950,802.19,813.87,997.44,946.51,1013.42,1044.88,1047.22,1165,1112.11,1046.9,1083.33,1026.02,1086.14,1125,1086.73,1113.43,1080.16,1266.4,1139.32,1140,1138.39,1023.61,1044.44,925.93,1031.82,1147.8,1048.8,1000,1068.31,1033.33,1150,1000,1076.53,985.38,1000,1091.41,1103.33,1107.62,1200.91,1235.29,1244.94,1243.33,1198,1170,1189.17,1094.63,1100.88,1097.92,1048.59,1096.4,1085.01
"Beef,boneless   BENUE",1079.17,1000,1087.72,1016.67,1137.57,1086.67,1055.47,1058.2,1210.24,1237.02,1060,1205.45,1381.02,1437.5,1425,1311.67,1325.98,1334.87,1370.77,1253.36,1278.48,1319.13,1240.47,1285.9,1361.9,1360.43,1321.74,1380,1281.82,1304.12,1328.57,1319.23,1260,1300,1280,1276.81,1286.62,1380,1400.74,1450.32,1452.57,1374.44,1381.48,1344.44,1302.6,1328.12,1332.65,1314.38,1318.08,1264.12,1240.41,1234.27
Bread sliced 500g   BENUE,215.83,253.33,243,293.75,267.86,265.63,310,224.44,274.82,313.3,290.28,287.92,307.11,351.43,325.56,300,343.75,380,363.33,318.75,313.33,322.73,315,311.43,310,315,320.45,308.33,300,295.24,305,313.64,318.75,305,322.22,305,320,324.29,314.29,325,325,325,357.14,335.71,330,310,350,330,331.18,326.92,322.22,316.25
Bread unsliced 500g  BENUE,228.57,291.67,248.47,287.5,258.89,265,300,285,269.44,257.57,301.25,315.05,265.71,272.22,257.5,259.73,280,275,290.77,314.29,300,304.17,273.08,273.53,281.82,302.73,309.09,292.73,299.09,288.93,290,283.33,300,290,300.25,290,285.71,287,279.09,264.29,265.47,255,250,268.18,304.29,348.75,378.57,360,360.21,313.64,294.44,307.14
Broken Rice (Ofada) BENUE,148.39,186.67,266.67,160,187.5,220,250,258.06,250,266.67,250,263.34,300,310.43,400,416.67,480,490,485,450.88,451.15,371.43,371.43,370,376.77,377.03,366.67,366.67,350,358.67,233.33,233.33,259.8,250.48,301.33,333.33,316.67,323.33,331.58,323.33,323.5,293.33,283.33,298.56,309.57,358.33,333.33,353.44,354.26,366.67,326.67,335.16
Catfish (obokun) fresh BENUE,776.79,780,783.22,780,776.79,780,778.57,776.79,780,783.22,778.57,773.92,865.88,776.79,780,783.22,786.43,745.2,741,739.02,730.89,750,775.8,773.43,800,850.12,866.67,858.33,885.33,973.46,1055.56,1083.33,1101.75,1071.43,1125,1050,1075,1175,1157.69,1217.97,1226.5,1195.33,1176.32,1136.06,1120.29,1176.32,1222.52,1250,1261.14,1198.05,1155.38,1106.32
Catfish :dried BENUE,1584.85,1591.88,1598.91,1605.94,1612.97,1620,1820.89,1866.67,1912.45,1578.99,1600,1621.01,1642.02,1663.04,1735.17,1755.22,1821.93,1720,1720.24,1659.88,1641.62,1661.96,1511.87,1489.7,1535.49,1552.11,1669.04,1569.19,1499.47,1519.4,1541.8,1413.07,1506.75,1546.3,1602.78,1541.8,1600.74,1705.38,1697.43,1701.78,1685.01,1598.86,1565.9,1540.7,1487.69,1504.04,1606.24,1555.98,1598.7,1547.73,1491.14,1423.72
Catfish Smoked BENUE,1666.67,1671.03,1675.39,1679.75,1684.11,1688.47,1692.83,1697.19,1701.55,1705.91,1710.27,1714.63,1718.99,1527.78,1620.1,1619.01,1617.92,1644.92,1650,1779.55,1759.97,1798.92,1863.65,1819.35,1625,1382.67,1201.09,1366.67,1372.22,1416.23,1436.36,1481.25,1466.67,1484.85,1509.09,1530.025,1542.86,1551.19,1548.81,1602.22,1573.49,1547.22,1496.33,1509.52,1482.95,1445.18,1367.67,1405.38,1459.4,1480.25,1509.12,1437.04
Chicken Feet BENUE,666.67,780,750,700.06,750,766.67,800,850,760.55,717.21,750.52,800.99,859.16,1100,850,800,1000,1000,990,975,975.59,980,986.5,975,975.65,976.43,850,825,908,950,1000,1000,1100,950.57,945.86,800,810.63,816.77,805.22,820.13,820.71,789.25,750,800,760,812.34,850,850,848.65,795,800,711.03
Chicken Wings BENUE,550,500,600,620.83,637.5,750,600,750,1000,707.56,800,825,889.4,1133.33,850,816.67,1000.15,1100,1104.17,1100,1100.66,1020.83,1058.45,1066.67,1100,1100.88,1120,987.5,1100,1100,1216.67,1200,1325,1350,1283.54,1020.83,1100,1080,993.33,1050,1050.63,994.2,990.63,1000,975.32,1000,1033.33,1050,998.57,953.33,940,926.67
Dried Fish Sardine BENUE,1258.34,1285.71,1255,1287.96,1237.66,1263.64,1218.18,1236.36,1213.64,1247.24,1242.43,1250,1227,1266.67,1209.09,1217.05,1290.35,1206.54,1240.74,1216.67,1157.14,1113.81,1156.15,1141.67,1222.22,1223.2,1390.48,1225,1307.14,1373.33,1571.43,1566.67,1555.56,1600.15,1539.96,1500,1545.45,1455.56,1461.47,1503.33,1487.69,1398.67,1352.31,1379.16,1345.05,1415.06,1461.11,1463.64,1501.82,1495.85,1464.29,1487.88
Evaporated tinned milk carnation 170g BENUE,120,120,123.33,120,135,120,135,120,138,135.16,135,135,127.84,140,165,153.33,160,150,160,150,185,173.33,173.33,162.5,170,163.33,150,153.33,170,178,165,160,180,165,150,155,160.27,160.15,158.48,160,160.59,150,150,150,166.67,165,160,170,169.37,160,140,145
"Evaporated tinned milk(peak), 170g BENUE",137.33,132.38,137.74,136.5,154.38,158.13,151.86,154,154.79,158.63,157.5,158.5,160.87,180.24,194.55,199.33,199.5,194.17,204.29,202.35,209.33,189.29,189.29,195.5,198.14,193.33,192.63,190.67,203.33,195.6,180.91,182,192.86,187,174.29,180.91,182.52,184,181.33,180.83,179.83,163.08,183.33,180.74,185.83,187,177.78,186.43,184.78,178.24,180,188.82
Frozen chicken BENUE,1200,1300,1400,1600,1500.32,1600,2100,1700,2050,1996.58,1600,1733.33,1726.95,2000,1800,1600,1600,1700,1700,1733.33,1734.37,1640,1650,1700,1750,1650,1550.55,1600,1600,1585,1650,1600,1700,1650,1600,1700,1725,1708,1721.83,1750,1762.25,1820,1800,1750,1833.33,1850,1900,1925.5,1975,1950,1920,1875
"Gari white,sold loose BENUE",162.84,164.82,162.26,162.44,142.52,150.92,166.15,171.82,162.04,153.18,169.74,148.81,163.03,292.4,273.95,252.28,265.76,318.61,292.19,230.87,263.77,222.54,214.14,209.01,209.51,214.29,186.04,183.43,206.64,189.99,179.14,192.75,201.04,183.69,183.97,163.16,180,169.44,167.26,165.62,163.81,147.74,146.22,156.79,146.91,147.49,173.52,183.61,182.13,147.7,151.73,159.6
"Gari yellow,sold loose BENUE",225.46,230.8,238.67,244.29,259.55,270.79,253,267.26,234.55,234.42,232.67,240.3,240.25,265.8,278.48,284.62,300.11,357.67,328.89,412.79,413.03,370.23,367.09,365.89,303.13,288.29,262.6,252.03,250,231.18,224.85,224.9,245.98,213.28,214.63,189.84,200.71,187.62,185.91,198.99,194.79,161.29,151.05,163.19,159.7,156.23,177.25,209.6,207.8,150.63,147.47,146.57
"Groundnut oil: 1 bottle, specify bottle BENUE",306.66,312.22,350.66,324.99,388.33,404.44,416.66,425.39,434.44,443.29,468.88,433.33,430.21,428.11,455.55,431.47,438.12,445.17,490.47,500.33,440.19,445.83,445.83,441.79,500,495.8,520,538.46,601.28,612.12,629.63,638.89,636.06,595.24,614.29,609.63,589.47,594.44,600.84,646.67,618.18,600,586.15,619.04,605.15,646.67,638.1,600,594.87,566.67,610.26,585
Iced Sardine BENUE,650,653.33,653.57,683.33,680,680.55,685.45,687.78,689.09,689.76,688.18,682.44,672.08,673.04,670.87,680,686.74,683.2,695.56,694.88,670,680.2,683.35,680.74,700,700.56,850,800,820.08,847.62,908.57,851.43,825,900,985.33,1000,909.09,921.67,930.09,1016.67,1000.83,937.42,918.18,970,963.65,1015.71,1056.11,1046.1,1065.71,1022.44,980.05,949.21
Irish potato BENUE,171.3,175,172,173.67,174.55,174.14,175.83,181.48,175.44,188.5,180.3,180.73,188.21,187.69,186.06,187.3,192.58,191.26,197.18,196.87,182.3,165.03,183.48,180.32,203.27,198,216.41,299.11,307.19,307.68,284.57,289.21,266.92,256.81,344.76,284.57,268.49,275.03,287.68,305.89,297.36,218.24,209.46,255.64,237.47,260.18,307.89,275.24,286.8,261.86,302.99,268.75
Mackerel : frozen BENUE,817.42,878.64,800,802.64,805.28,807.92,810.56,813.2,815.84,818.48,821.12,788.15,750,738.53,943.3,887.29,875.61,841.36,840,858.64,849.19,807.94,745.2,736.21,838.1,713.97,904.47,815.03,815.56,916.41,908.33,1000,1075,1000,1075,991.67,1040,1087.5,1030.38,1150,1129.23,1212,1200,1155.78,1158.56,1182.88,1177.47,1154.65,1156.9,1102.59,1090.77,1055.25
Maize grain white sold loose BENUE,80.12,79.74,93.19,89.96,103.17,112.19,131.16,146.65,160.69,143.4,133.85,146.14,159.99,177.28,176.71,169.26,190.06,195.39,193.16,189.55,160.99,195.68,195.68,195.55,188.71,190,140.58,164.98,183.64,195.19,192.67,193.16,195.58,175.14,149.06,127.43,116.9,120.57,123.12,145.87,129.69,143.7,123.59,129.59,136.35,131.13,136.73,149.63,122.59,122.43,131.32,131.77
Maize grain yellow sold loose BENUE,77.24,80.01,92.76,89.64,98.94,102.93,113.25,125.47,139.98,142.03,137.18,152.69,174.14,180.82,166.81,191.07,204.67,204.76,199.4,199.73,163.93,205.06,205.06,205.3,227.56,200,173.75,170.1,191.32,209.87,193.83,206.42,197.86,184.26,144.31,141.14,119.78,128.65,130.51,153.92,133.5,146.53,125.14,131.52,139.17,130.87,132.12,125.74,120.83,118.76,128.58,121.06
Mudfish (aro) fresh BENUE,694.12,680,941.67,925.75,803.57,825,828.57,887.5,857.14,931.62,803.57,889.34,903,836.36,1035.71,908.33,1100,1100,1052.63,966.67,967.25,1040.74,1085.85,1085.06,1175,1200,1050,940.74,1017.05,1157.35,1166.67,1200,1300,1421.57,1375,1300,1275,1250,1252.3,1300,1343.4,1275,1233.33,1192.1,1151.28,1210,1131.78,1150,1146.12,1106.26,1138.46,1053.85
Mudfish : dried BENUE,1254.11,1250,1571.97,1804.92,1306.49,2053.03,1704.55,1685.71,1347.4,1820.51,1524.48,2200,2070.55,2428.57,2435.06,2528.57,2650,2666.67,2658.33,2270.21,2271.57,2233.39,2255.32,2214.4,1995.24,2124.06,1917.01,1953.64,1908,1830.25,1905.65,1915.24,1818.18,1884.62,1922.79,1605.65,1562.39,1566.38,1587.02,1608.92,1636.67,1589.5,1536.11,1550.3,1494.16,1515.65,1582.43,1557.04,1603.94,1580.95,1567.59,1546.21
Onion bulb BENUE,222.85,246.56,241.2,256.58,254.57,261.83,230.84,231.15,233.16,240.63,265.23,236.19,294.16,226.04,220.15,179.41,173.52,204.92,235.65,242.22,241.38,201.29,199.18,201.01,224.29,218.65,201.31,225.88,218.91,234.54,288.83,286.42,258.46,223.06,257.4,201.64,250.66,274.6,245.39,286.36,266.67,259.64,241.67,238.14,200.71,207.14,226.76,206.31,200.66,216.37,203.87,158.65
"Palm oil: 1 bottle,specify bottle BENUE",288.57,319.77,359.16,340.94,350.16,343.99,359.99,410,470,450.21,475,450,472.13,485,470.33,440.55,501.07,529.52,551.52,576.59,467.91,530.31,530.31,530.14,551.67,560,529.82,510.83,535.83,525.83,509.52,522.81,591.11,533.33,533.33,509.52,514.78,524.44,515.83,496.41,457.78,491.67,461.54,462.5,485.71,466.67,474.07,488.89,437.22,442.22,491.76,496.3
Plantain(ripe) BENUE,192.63,180.73,195.12,152.39,170.83,159.3,164.41,173.47,152.19,170.4,198.31,201.23,200,207.38,209.12,218.8,218.35,229.61,244.77,253.23,196.09,229.95,210.19,215.12,316.67,237.92,242.7,262.1,270.34,249.2,253.09,288.47,274.07,251.59,254.73,205.07,224.09,257.89,261.37,279.43,254.29,268.18,251.23,276.27,267.93,277.44,208.51,228.53,256.82,280.12,322.69,255.65
Plantain(unripe) BENUE,231.69,183.78,156.76,146.14,132.58,148.51,150.43,142.72,132.26,149.53,153.66,172.63,168.78,190.58,201.42,205.36,213.55,218.49,201.38,226.35,174.37,218.81,240.27,237.24,275.13,240.86,300.64,285.88,282.97,308.68,313.64,297.92,270,239.61,230.67,209.55,200.17,237.64,242.92,254.63,223.08,298.02,265.59,278.11,261.34,256.46,282.22,292.86,250.97,259.55,255.08,231.26
Rice agric sold loose BENUE,193.55,193.55,213.81,200.35,218.75,258.06,283.48,322.58,312.5,294.82,312.5,300.56,301.84,311.43,310,295.16,300.14,319.44,326.67,366.67,366.93,266.67,255.16,256.67,243.33,300,300,295.16,305,312.95,316.67,326.92,408.46,371.26,378.06,316.67,333.33,336.96,315.86,307.78,306.67,290.32,293.33,305,311.83,315.11,403.55,382.6,381.18,383.81,333.33,369.35
Rice local sold loose BENUE,153.75,147.18,181.68,183.6,188.19,235.42,275.76,285.83,298.58,277.69,289.96,300.25,272.71,283.97,297.13,303.15,335.91,358,338.89,285.96,297.86,283.04,257.31,266.8,232.78,241.77,243.3,252.32,297.86,265.75,256.45,260.76,253.07,260.12,278.17,256.45,303.7,304.8,300.44,294.08,279.14,259.78,290.95,286.96,307.11,312.42,349.5,348.22,346.11,351.48,296.3,297.4
Rice Medium Grained BENUE,161.29,161.29,200,161.29,187.5,225.81,281.25,258.06,281.25,292.8,281.25,258.06,303.72,261.44,303.33,259.75,358.33,383.33,365.98,333.33,347.56,266.67,253,244.87,238.33,246.67,266.67,259.75,274.56,256.77,258.38,244.3,268.53,250,257.41,258.38,300,318.06,306.37,295.5,282.37,258.06,266.67,266.66,315.7,356.67,408.33,392.58,392.16,400.11,400,383.33
