Fooditem,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020
Agric eggs medium size,328.84,338.80,350.92,367.75,370.01,380.03,374.55,378.73,435.20,472.77,430.73,439.87,512.99,520.16,507.69,518.66,522.71,514.66,498.50,485.19,487.51,472.85,463.11,494.43,437.13,519.07,527.32,552.09,548.66,539.75,471.75,474.13,472.73,482.90,477.76,466.97,469.86,464.27,459.81,467.18,464.87,495.33,468.31,461.89,456.81,462.46,463.91,457.80,454.17,448.26,461.15,476.72
Agric eggs(medium size price of one),29.75,30.00,31.20,35.90,33.98,34.20,33.79,33.99,37.20,42.03,39.05,39.40,47.42,42.90,43.93,46.22,45.73,45.28,44.32,42.92,45.72,42.06,40.82,41.32,38.85,41.27,41.21,42.25,41.77,41.38,41.22,41.79,41.17,41.73,42.40,42.58,42.18,42.23,41.92,41.95,42.82,39.31,38.38,40.57,41.30,40.51,41.18,40.72,40.17,39.29,39.90,41.54
"Beans brown,sold loose",236.81,238.02,240.91,263.57,256.41,276.59,288.32,293.56,305.29,345.48,357.26,347.60,353.60,337.11,353.28,357.19,365.86,374.26,382.35,370.25,404.84,382.58,369.78,361.97,385.53,387.48,395.34,395.19,407.73,418.78,411.02,410.16,416.07,411.05,396.73,386.78,382.76,373.91,368.07,372.84,365.32,342.82,327.18,307.27,318.99,308.93,307.30,299.48,285.61,276.30,267.81,277.05
Beans:white black eye. sold loose,206.05,208.36,217.64,229.32,228.20,256.69,260.73,260.91,282.70,295.85,299.89,296.98,305.53,309.85,318.45,324.04,332.28,339.64,343.96,335.71,358.13,342.05,337.09,314.93,344.52,348.55,357.04,355.32,367.23,369.43,361.33,361.68,362.71,354.22,346.41,344.72,336.72,338.05,330.76,329.45,329.66,311.40,289.78,273.71,285.74,292.00,284.65,281.60,268.80,255.25,241.74,250.33
Beef Bone in,811.24,790.98,826.96,884.99,865.16,851.81,884.06,910.41,953.91,979.61,965.59,948.07,1001.24,995.65,1010.29,1035.45,1123.65,1129.02,1128.94,1151.38,1078.49,1081.30,1065.59,1067.73,1045.55,1017.28,1024.64,980.26,1011.11,1034.57,1028.12,1061.78,1027.66,1003.35,998.67,997.73,994.20,980.54,980.12,1025.26,1023.39,1003.20,1009.69,1007.39,1021.84,1025.69,1026.24,1045.86,1031.53,1035.38,1025.48,1047.12
"Beef,boneless",977.33,1036.45,1004.41,1022.57,1047.33,1031.23,1055.21,1060.67,1145.29,1218.62,1153.03,1162.42,1249.48,1270.67,1281.71,1323.10,1378.91,1393.42,1376.91,1276.85,1324.93,1312.73,1286.86,1236.44,1298.70,1274.71,1262.51,1257.73,1275.77,1271.54,1262.73,1281.02,1281.64,1260.59,1251.45,1270.81,1273.99,1254.99,1253.48,1271.10,1268.95,1240.44,1246.78,1244.23,1257.58,1281.59,1293.00,1292.52,1289.80,1279.60,1276.10,1307.68
Bread sliced 500g,225.40,240.18,259.29,249.73,248.67,276.97,306.35,265.22,293.43,305.27,305.72,296.05,302.87,299.75,297.51,296.63,307.70,320.58,314.47,304.20,310.62,305.88,298.96,290.05,313.43,314.17,305.88,306.54,305.98,308.00,305.25,307.97,303.84,299.19,305.48,296.91,300.61,299.11,299.98,297.87,297.28,292.73,293.49,301.36,302.59,296.56,299.59,304.06,302.45,303.06,304.60,316.55
Bread unsliced 500g,208.65,270.65,225.97,222.26,222.51,275.38,299.90,245.20,274.57,264.29,298.06,272.97,270.25,264.86,262.33,277.69,282.26,286.78,285.55,258.70,286.33,280.34,274.32,268.23,282.12,284.36,278.61,278.61,278.11,275.60,272.71,278.27,278.57,272.91,277.87,271.14,272.97,271.74,273.14,271.49,272.09,274.49,271.02,275.40,275.89,278.66,280.51,277.79,276.26,275.20,278.79,288.45
Broken Rice (Ofada),263.26,277.30,289.41,302.81,309.38,337.73,338.69,335.89,342.86,353.59,360.95,375.65,377.41,392.04,421.54,425.53,460.10,472.29,473.40,415.34,431.59,416.18,417.24,319.86,413.19,405.69,399.47,400.94,405.03,404.43,403.56,397.29,384.49,370.21,385.61,381.64,382.15,385.81,382.45,381.13,377.77,373.49,367.44,366.22,370.30,371.89,396.86,406.94,409.31,404.32,390.54,408.05
Catfish (obokun) fresh,865.38,882.06,866.87,870.17,885.36,890.99,919.32,932.32,928.10,940.89,919.11,926.31,959.11,935.51,958.67,972.73,991.64,989.49,968.76,972.65,947.60,967.00,968.77,1077.82,1014.62,1037.33,1008.28,993.54,1013.11,1062.43,1064.74,1088.95,1089.25,1080.38,1112.09,1060.83,1073.51,1066.39,1065.14,1082.01,1063.03,1024.68,994.21,1008.32,1002.53,1004.38,1027.76,1043.41,1025.13,1022.84,1027.30,1048.90
Catfish :dried,1860.55,1870.40,1907.32,1889.60,1900.87,1894.83,1903.85,1860.62,1871.75,1870.27,1894.61,1871.64,1879.96,1915.68,1902.15,1927.97,1919.64,1916.19,1915.25,1904.67,1878.46,1914.45,1903.71,1545.26,2203.92,1857.25,1793.58,1753.53,1779.71,1770.53,1792.12,1807.11,1766.55,2362.28,1814.97,1808.55,1814.67,1799.35,1791.90,1763.61,1766.55,1727.36,1700.51,1712.11,1709.80,1697.55,1723.23,1732.45,1720.55,1713.30,1711.32,1724.52
Catfish Smoked,1613.56,1604.21,1619.61,1656.84,1687.38,1685.91,1664.21,1697.25,1735.79,1732.28,1721.55,1717.22,1723.47,1718.69,1725.51,1710.33,1745.79,1728.60,1726.82,1700.55,1674.20,1658.59,1649.26,1588.86,1540.80,1896.94,1524.75,1514.53,1520.93,1527.82,1504.39,1512.40,1499.60,1482.30,1490.84,1519.80,1509.19,1517.84,1517.26,1548.23,1552.13,1528.98,1504.20,1515.95,1499.70,1494.81,1501.28,1507.39,1502.48,1496.07,1501.97,1524.80
