Date,Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Catfish (obokun) fresh,Catfish :dried,Catfish Smoked,Chicken Feet,Chicken Wings,Dried Fish Sardine,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose","Groundnut oil: 1 bottle, specify bottle",Iced Sardine,Irish potato,Mackerel : frozen,Maize grain white sold loose,Maize grain yellow sold loose,Mudfish (aro) fresh,Mudfish : dried,Onion bulb,"Palm oil: 1 bottle,specify bottle",Plantain(ripe),Plantain(unripe),Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Sweet potato,Tilapia fish (epiya) fresh,Titus:frozen,Tomato,"Vegetable oil:1 bottle,specify bottle",Wheat flour: prepacked (golden penny 2kg),Yam tuber
1/1/16,328.84,29.75,236.81,206.05,811.24,977.33,225.4,208.65,263.26,865.38,1860.55,1613.56,595.48,683.73,1459.92,119.42,137.62,1149.31,132.46,156.41,350.06,725.53,188.53,754.79,91.02,92.83,793.21,1332.64,202.41,301.9,189.19,188.86,202.67,163.29,200.01,239.08,108.49,779.03,702.65,223.5,319.93,518.68,147.71
2/1/16,338.8,30,238.02,208.36,790.98,1036.45,240.18,270.65,277.3,882.06,1870.4,1604.21,610.78,822.23,1454.19,120.46,137.88,1209.98,135.46,157.4,367.9,727.38,192.44,767.64,92.7,97.35,839.33,1372.69,195.28,318.5,194.25,189,213.32,172.74,201.72,244.25,109.98,784.86,705.57,209.16,336.43,523.2,149.77
3/1/16,350.92,31.2,240.91,217.64,826.96,1004.41,259.29,225.97,289.41,866.87,1907.32,1619.61,648.57,695.5,1460.13,122.79,139.16,1176.47,144.04,166.4,384.94,731.55,188.02,773.4,100.54,103.59,823.62,1383.18,190.8,327.84,199.14,189.06,227.22,200.43,214.9,270.14,110.12,785.88,712.19,207.24,348.84,531.05,156.59
4/1/16,367.75,35.9,263.57,229.32,884.99,1022.57,249.73,222.26,302.81,870.17,1889.6,1656.84,651.19,727.31,1476.26,127.62,140.93,1327.22,163.36,186.73,399.04,724.32,189.8,788.68,109.29,108.98,809.43,1448.41,189.11,328.38,200.16,191.63,250.19,217.94,236.69,298.86,112.05,787.46,715.86,247.76,366.01,545.38,175.72
5/1/16,370.01,33.98,256.41,228.2,865.16,1047.33,248.67,222.51,309.38,885.36,1900.87,1687.38,654.37,774.25,1461.54,129.54,143.8,1231.71,176.72,202.32,416.7,726.83,192,796.58,116.1,116.5,860.15,1490.34,188.51,331.8,200.89,193.73,271.09,235.01,248.8,316.83,112.04,787.85,716.1,390.66,380.76,549.24,182.83
6/1/16,380.03,34.2,276.59,256.69,851.81,1031.23,276.97,275.38,337.73,890.99,1894.83,1685.91,655.43,770.29,1468.37,124.47,141.21,1236.64,181.07,200.7,430.16,737.29,196.3,803.62,124.63,125.36,859.5,1538.4,207.67,338.26,205.5,200.27,288.06,258.67,267.91,336.56,110.81,794.58,715.89,341.73,392.58,559.49,219.86
7/1/16,374.55,33.79,288.32,260.73,884.06,1055.21,306.35,299.9,338.69,919.32,1903.85,1664.21,669.6,764.76,1469.81,128.91,141.65,1257.81,187.74,211.88,440.45,746.65,197.54,825.51,132.18,133.16,864.09,1511.28,197.76,346.04,210.21,200.06,289.6,268.27,271.05,338.07,112.94,796.24,722.86,340.79,402.27,581.47,207.62
8/1/16,378.73,33.99,293.56,260.91,910.41,1060.67,265.22,245.2,335.89,932.32,1860.62,1697.25,680.88,765.61,1479.16,125.27,142.39,1297.97,191.5,216.46,449.76,748.44,197.96,818.98,139.93,139.54,890.04,1538.86,202.42,365.16,211.38,204.67,313.19,289.3,297.65,370.3,112.16,799.18,722.69,274.36,416.35,567.07,199.62
9/1/16,435.2,37.2,305.29,282.7,953.91,1145.29,293.43,274.57,342.86,928.1,1871.75,1735.79,733.23,830.05,1477.1,131.91,148.57,1327.22,191.79,230.36,448.88,760.9,198.68,820.9,150.25,147.48,896.95,1587.5,234.03,388.05,215.57,208.98,304.32,284.5,298.27,365.21,113.06,806.59,732.78,283.23,445.82,568.66,201.72
10/1/16,472.77,42.03,345.48,295.85,979.61,1218.62,305.27,264.29,353.59,940.89,1870.27,1732.28,735.78,868.8,1486.08,136.8,154.47,1336.68,191.02,225.63,456.08,759.11,201.3,842.74,150.53,152.47,944.06,1645.84,250.55,397.09,224.42,211.44,314.98,281.67,298.14,388.79,113.28,813.02,738.95,279.34,462.48,596.39,202.89
11/1/16,430.73,39.05,357.26,299.89,965.59,1153.03,305.72,298.06,360.95,919.11,1894.61,1721.55,703.38,831.38,1489.89,139.6,149.45,1282.77,215.23,233.63,469.13,765.5,199.97,1054.99,151.44,156.89,923.05,1599.72,259.62,407.78,229.53,210.38,332.3,298.68,323.66,410.53,113.6,816.16,740.11,264.95,481.07,604.02,209.5
12/1/16,439.87,39.4,347.6,296.98,948.07,1162.42,296.05,272.97,375.65,926.31,1871.64,1717.22,713.11,856.66,1492.19,134.51,151.32,1401.69,217.71,235.81,472.39,761.52,202.67,853.8,155.77,159.45,956.26,1726.75,255.72,415.78,228.01,211.82,338.92,298.75,325.41,410.55,113.76,817.03,747.87,266.82,492.98,613.42,219.69
