OFFENCES AGAINST LAWFUL AUTHORITY,OFFENCES AGAINST PERSONS,OFFENCES AGAINST PROPERTY,TOTAL OFFENCES
39,1183,4160,5382
378,702,593,1673
731,127,1030,1888
272,9816,2320,12408
52,811,1406,2269
4,196,186,386
110,431,1500,2041
3,681,907,1591
91,612,840,1543
56,949,1158,2163
731,3310,3109,7150
152,1275,2787,4214
307,729,848,1884
125,935,1111,2171
33,408,972,1413
0,427,554,981
80,893,697,1670
47,345,397,789
4,385,694,1083
289,2102,3314,5705
58,602,902,1562
11,88,106,205
25,146,111,282
25,279,526,830
7060,18926,24989,50975
754,564,1343,2661
133,466,481,1080
537,518,546,1601
289,1282,2142,3713
46,1058,1865,2969
54,318,514,886
2,736,1869,2607
0,467,1103,1570
26,766,1622,2414
33,550,998,1581
88,367,535,990
32,169,318,519
1,22,26,49
0,0,0,0
